Galaxy S21 Ultra 5G,SM-G998,227
Galaxy S21 Plus 5G,SM-G996,200
Galaxy S21 5G,SM-G991,169
Galaxy S21 FE 5G,SM-G990,176
Galaxy S20 Ultra 5G,SM-G988,220
Galaxy S20 Plus 5G,SM-G986,186
Galaxy S20 Plus 5G,SM-G985,186
Galaxy S20 5G,SM-G981,163
Galaxy S20 5G,SM-G980,163
Galaxy S20 FE 5G,SM-G781,190
Galaxy S10 5G,SM-G977N,198
Galaxy S10 Plus,SM-G975N,198
Galaxy S10,SM-G973N,157
Galaxy S10e,SM-G970N,150
Galaxy S10 Lite,SM-G770FZBS,186
Galaxy Note20 Ultra 5G,SM-N986N,208
Galaxy Note20 5G,SM-N980,192
Galaxy Note20 5G,SM-N981,192
Galaxy Note10 Plus 5G,SM-N975,196
Galaxy Note10 Plus 5G,SM-N976,196
Galaxy Note10 5G,SM-N970,168
Galaxy Note10 5G,SM-N971,168
Galaxy Note10 Lite,SM-N770,199
Galaxy A82 5G,SM-A826S,176
Galaxy A72 5G,SM-A725,203
Galaxy A52s 5G,SM-A528N,189
Galaxy A52 5G,SM-A525,189
Galaxy A52 5G,SM-A526,189
Galaxy A42 5G,SM-A426N,193
Galaxy A32 5G,SM-A326K,205
Galaxy A32,SM-A325N,184
